OBJECTID1928,ecosite1,ecosite2,ecosite3,VegUnite,GeneralizedStateNum,SiteName,FG1928,SP1915,matches
42,Gravelly, , ,"LATR2,FLCE,MUPO2",0,Gravelly,shrub,LATR2,1
42,Gravelly, , ,"LATR2,FLCE,NA",0,Gravelly,shrub,LATR2,1
42,Gravelly, , ,"LATR2,FLCE,BOER4",5,Gravelly,shrub,LATR2,1
42,Gravelly, , ,"LATR2,BOER4,PAIN2",5,Gravelly,shrub,LATR2,1
42,Gravelly, , ,"LATR2,,NA",5,Gravelly,shrub,LATR2,1
42,Gravelly, , ,"LATR2,FLCE,MUPO2",5,Gravelly,shrub,LATR2,1
42,Gravelly, , ,"LATR2,FLCE,NA",5,Gravelly,shrub,LATR2,1
42,Gravelly, , ,LATR2,6,Gravelly,shrub,LATR2,1
42,Gravelly, , ,"LATR2,MUPO2",6,Gravelly,shrub,LATR2,1
42,Gravelly, , ,"LATR2,,NA",6,Gravelly,shrub,LATR2,1
42,Gravelly, , ,"LATR2,FLCE,MUPO2",6,Gravelly,shrub,LATR2,1
42,Gravelly, , ,"LATR2,FLCE,NA",6,Gravelly,shrub,LATR2,1
42,Gravelly, , ,"LATR2,BOER4,PAIN2",6,Gravelly,shrub,LATR2,1
44,Gravelly,Loamy, ,"BOER4,PLMU3,ARIST",1,Loamy,PG,BOER4,1
44,Gravelly,Loamy, ,"BOER4,LATR2,MUPO2",3,Gravelly,PG,BOER4,1
45,Gravelly,Loamy, ,"SCBR2,PLMU3,NA",1,Loamy,PG,SCBR2,1
45,Gravelly,Loamy, ,"SCBR2,FLCE,KOSP",1,Loamy,PG,SCBR2,1
45,Gravelly,Loamy, ,"SCBR2,PLMU3,ARIST",2,Loamy,PG,SCBR2,1
45,Gravelly,Loamy, ,"SCBR2,FLCE,KOSP",2,Loamy,PG,SCBR2,1
45,Gravelly,Loamy, ,"SCBR2,NA,NA",2,Loamy,PG,SCBR2,1
45,Gravelly,Loamy, ,"SCBR2,PLMU3,NA",2,Loamy,PG,SCBR2,1
45,Gravelly,Loamy, ,"SCBR2,PRGL2,NA",2,Loamy,PG,SCBR2,1
45,Gravelly,Loamy, ,"SCBR2,FLCE,KOSP",4,Loamy,PG,SCBR2,1
45,Gravelly,Loamy, ,"SCBR2,PRGL2,NA",4,Loamy,PG,SCBR2,1
45,Gravelly,Loamy, ,"SCBR2,NA,NA",4,Loamy,PG,SCBR2,1
45,Gravelly,Loamy, ,"SCBR2,NA,NA",7,Loamy,PG,SCBR2,1
45,Gravelly,Loamy, ,"SCBR2,PLMU3,NA",7,Loamy,PG,SCBR2,1
45,Gravelly,Loamy, ,"SCBR2,PRGL2,NA",7,Loamy,PG,SCBR2,1
46,Gravelly,Loamy, ,"LATR2,,NA",0,Gravelly,shrub,LATR2,1
46,Gravelly,Loamy, ,"LATR2,BOER4,PAIN2",0,Gravelly,shrub,LATR2,1
46,Gravelly,Loamy, ,"LATR2,FLCE,MUPO2",0,Gravelly,shrub,LATR2,1
46,Gravelly,Loamy, ,"LATR2,FLCE,NA",0,Gravelly,shrub,LATR2,1
46,Gravelly,Loamy, ,"LATR2,FLCE,BOER4",5,Gravelly,shrub,LATR2,1
46,Gravelly,Loamy, ,"LATR2,BOER4,PAIN2",5,Gravelly,shrub,LATR2,1
46,Gravelly,Loamy, ,"LATR2,,NA",5,Gravelly,shrub,LATR2,1
46,Gravelly,Loamy, ,"LATR2,FLCE,MUPO2",5,Gravelly,shrub,LATR2,1
46,Gravelly,Loamy, ,"LATR2,FLCE,NA",5,Gravelly,shrub,LATR2,1
