"FID","Shape..","OBJECTID","FID_JERVeg","VegUnite","ZST_DOM","ZND_DOM","ZRD_DOM","SUM_Shape_","FID_JER_Ec","ecosite1","SUM_Shape1","Shape_Leng","Shape_Area","FGUnite","Dom1FG","Dom2FG","Dom3FG"
"121","Polygon","122","56","PLMU3,SCBR2,MUAR","PLMU3","SCBR2","MUAR","1867215.958","11","Sandy","368111095.6","9702.035659","1838577.017","PG,PG,PG","PG","PG","PG"
"122","Polygon","123","57","PLMU3,SCBR2,MUAR","PLMU3","SCBR2","MUAR","3803893.032","11","Sandy","368111095.6","18932.92079","3803893.032","PG,PG,PG","PG","PG","PG"
"123","Polygon","124","58","PLMU3,SCBR2,PRGL2","PLMU3","SCBR2","PRGL2","101167.3718","11","Sandy","368111095.6","1460.649258","101167.3718","PG,PG,shrub","PG","PG","shrub"
"124","Polygon","125","59","PLMU3,SCBR2,SPAI","PLMU3","SCBR2","SPAI","1322888.737","11","Sandy","368111095.6","7856.070251","1322888.737","PG,PG,PG","PG","PG","PG"
"125","Polygon","126","60","PRGL2,ARFI2,EPHspp","PRGL2","ARFI2","EPHspp","257699.7628","11","Sandy","368111095.6","2079.109133","257699.7628","shrub,shrub,succulent","shrub","shrub","succulent"
"126","Polygon","127","61","PRGL2,ARFI2,GUSA2","PRGL2","ARFI2","GUSA2","61970315.92","3","Deep sand","119701060","70053.71627","42492458.8","shrub,shrub,subshrub","shrub","shrub","subshrub"
"127","Polygon","128","61","PRGL2,ARFI2,GUSA2","PRGL2","ARFI2","GUSA2","61970315.92","4","Draw","6092080.685","14259.76903","797797.2429","shrub,shrub,subshrub","shrub","shrub","subshrub"
"128","Polygon","129","61","PRGL2,ARFI2,GUSA2","PRGL2","ARFI2","GUSA2","61970315.92","7","Limestone hills","125520706.8","10814.26752","634140.4658","shrub,shrub,subshrub","shrub","shrub","subshrub"
"129","Polygon","130","61","PRGL2,ARFI2,GUSA2","PRGL2","ARFI2","GUSA2","61970315.92","11","Sandy","368111095.6","44908.97625","18045919.43","shrub,shrub,subshrub","shrub","shrub","subshrub"
"130","Polygon","131","62","PRGL2,ARFI2,MUAR","PRGL2","ARFI2","MUAR","1326217.581","3","Deep sand","119701060","5648.269633","1326217.581","shrub,shrub,PG","shrub","shrub","PG"
"131","Polygon","132","63","PRGL2,ATCA2,ARFI2","PRGL2","ATCA2","ARFI2","13313991.6","3","Deep sand","119701060","19525.07191","5113891.881","shrub,shrub,shrub","shrub","shrub","shrub"
"132","Polygon","133","63","PRGL2,ATCA2,ARFI2","PRGL2","ATCA2","ARFI2","13313991.6","4","Draw","6092080.685","5626.876304","383790.0542","shrub,shrub,shrub","shrub","shrub","shrub"
"133","Polygon","134","63","PRGL2,ATCA2,ARFI2","PRGL2","ATCA2","ARFI2","13313991.6","11","Sandy","368111095.6","19234.41408","7816309.724","shrub,shrub,shrub","shrub","shrub","shrub"
"134","Polygon","135","64","PRGL2,ATCA2,GUSA2","PRGL2","ATCA2","GUSA2","20010026.02","3","Deep sand","119701060","24857.22403","4527890.935","shrub,shrub,subshrub","shrub","shrub","subshrub"
